component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
cpu,intel,Core i9,"Intel Core i9-9900K 8x3,6 (Boost 5,0) GHz R0 16MB-L3 Cache UHD 630 Socket 1151",,,1,Amazon España,40,40,40,2026-08-15
cpu,intel,Core i9,Intel Core I9-12900KF 3.20GHZ Chip,,,1,Amazon España,371,371,371,2026-08-15
cpu,intel,Core i9,"Intel Core i9 9900X, S 2066, Skylake-X Refresh, 10 Core, 20 Hilos, 3,5 GHz, 4,4 GHz Turbo, 19,25 MB, 44 Lane, 165 W, CPU, OEM",,,1,Amazon España,250,250,250,2026-08-15
cpu,intel,Core i9,CPU INTEL Core I9-9900KF 3.60GHZ 16M LGA1151 NO Graphics BX80684I99900KF 999DL9,,,1,Amazon España,433,433,433,2026-08-15
cpu,intel,Core i9,"Procesador Intel Core I9-7940X X-Series (19,25 M Cache, Up to 4,30 GHz) 3,1 GHz 19,25 MB Smart Cache Procesador - Procesadores (Up to 4,30 GHz), Intel Core I9-7Xxx, 3,1 GHz, Lga 20",,,1,Amazon España,596,596,596,2026-08-15
cpu,intel,Core i9,Intel Core i9 11900K,,,1,Amazon España,536,536,536,2026-08-15
cpu,intel,Core i9,Intel Core i9 i9-14900K - 3.2 GHz - 24 Kerne - 32 Threads - 36 MB Cache-Speicher - FCLGA1700 Socket - OEM,,,1,Amazon España,597,597,597,2026-08-15
ram,memory,DDR5,1. Median:€60.99,32,,1,Amazon España,57,57,57,2026-08-15
ram,memory,DDR5,2. Median:€59.99,32,,1,Amazon España,57,57,57,2026-08-15
ram,memory,DDR5,3. Median:€60.99,32,,1,Amazon España,57,57,57,2026-08-15
ram,memory,DDR4,4. Median:€59.99,8,,1,Amazon España,65,65,65,2026-08-15
ram,memory,DDR4,5. Median:€68.99,8,,1,Amazon España,107,107,107,2026-08-15
ram,memory,DDR4,6. Median:€112.99,8,,1,Amazon España,210,210,210,2026-08-15
ram,memory,DDR4,7. €219.99,8,,1,Amazon España,95,95,95,2026-08-15
ram,memory,DDR4,8. Median:€102.99,8,,1,Amazon España,97,97,97,2026-08-15
ram,memory,DDR4,9. Median:€102.99,8,,1,Amazon España,55,55,55,2026-08-15
cpu,amd,Ryzen 3,"El **procesador** es uno de los elementos más importantes de cualquier equipo informático, especialmente si necesitas rendimiento para realizar trabajos audiovisuales o quieres ded",,,1,LDLC España,193,193,193,2026-08-15
cpu,amd,Ryzen 5,* Los más vendidos- [x],,,1,LDLC España,91,91,91,2026-08-15
cpu,amd,Ryzen 5,* - [x],,,1,LDLC España,498,498,498,2026-08-15
cpu,amd,Ryzen 3,"AMD Ryzen 3 4100 Wraith Stealth (3,8 GHz / 4,0 GHz)",,,1,LDLC España,62,62,62,2026-08-15
ram,memory,DDR4,* - [x],32,,1,LDLC España,287,287,287,2026-08-15
ram,memory,DDR4,* Los más vendidos- [x],32,,1,LDLC España,162,162,162,2026-08-15
ram,memory,DDR4,* - [x],16,,1,LDLC España,326,326,326,2026-08-15
ram,memory,DDR4,* - [x],64,,1,LDLC España,239,239,239,2026-08-15
ram,memory,DDR4,* - [x],8,,1,LDLC España,81,81,81,2026-08-15
ram,memory,DDR5,* Los más vendidos- [x],16,,1,LDLC España,249,249,249,2026-08-15
ram,memory,DDR5,* Nuevo- [x],8,,1,LDLC España,210,210,210,2026-08-15
ram,memory,DDR4,* Nuevo- [x],32,,1,LDLC España,36,36,36,2026-08-15
ram,memory,DDR4,* Nuevo- [x],16,,1,LDLC España,159,159,159,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 8GB DDR5 5600 MHz CL36,8,,1,LDLC España,153,153,153,2026-08-15
ram,memory,DDR4,Kingston FURY Beast 8GB DDR4 3200 MHz CL16,8,,1,LDLC España,95,95,95,2026-08-15
ram,memory,DDR4,Crucial Pro DDR4 64 GB (2 x 32 GB) 3200 MHz CL22,64,,1,LDLC España,161,161,161,2026-08-15
ram,memory,DDR5,Corsair Vengeance DDR5 128 GB (4 x 32 GB) 5600 MHz CL40 - Negro,128,,1,LDLC España,95,95,95,2026-08-15
ram,memory,DDR5,Modelo: Corsair Vengeance DDR5 48 GB (2 x 24 GB) 6000 MHz CL36 - Negro Opinión traducida automáticamente +,48,,1,LDLC España,340,340,340,2026-08-15
ram,memory,DDR5,Corsair Vengeance DDR5 128 GB (2 x 64 GB) 6000 MHz CL40 - Negro,128,,1,LDLC España,502,502,502,2026-08-15
gpu,nvidia,RTX 3050,* - [x],,,1,LDLC España,234,234,234,2026-08-15
gpu,nvidia,RTX 3050,* Los más vendidos- [x],,,1,LDLC España,806,806,806,2026-08-15
gpu,nvidia,RTX 5070,12GB GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5070),,,1,LDLC España,604,604,604,2026-08-15
gpu,nvidia,RTX 5060,8GB GDDR7 - Dual HDMI/DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060),,,1,LDLC España,88,88,88,2026-08-15
gpu,nvidia,RTX 5080,16 GB GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5080),,,1,LDLC España,623,623,623,2026-08-15
